"ï»¿""Countries""",Population-access-to-electricity-National-(%-of-population)
Algeria,99.43
Angola,40.52
Benin,41.4
Botswana,60.68
Burkina Faso,19.16
Burundi,7.58
Cabo Verde,92.61
Cameroon,60.07
Central Africa,27.1
Central African Republic,13.98
Chad,8.83
Comoros,77.84
Congo Dem. Rep.,17.14
Congo Rep.,56.56
Ivory Coast,64.3
Djibouti,51.78
East Africa,36.74
Egypt,100
Equatorial Guinea,67.88
Eritrea,46.68
Ethiopia,42.9
Gabon,91.39
Gambia,47.75
Ghana,79.3
Guinea,33.5
Guinea-Bissau,14.65
Kenya,56
Lesotho,29.73
Liberia,19.8
Libya,98.53
Madagascar,22.9
Malawi,11
Mali,35.06
Mauritania,41.65
Mauritius,98.78
Morocco,100
Mozambique,24.19
Namibia,51.78
Niger,16.21
Nigeria,59.3
North Africa,98.53
Rwanda,29.37
Sao Tome and Principe,65.44
Senegal,64.5
Seychelles,100
Sierra Leone,20.3
Somalia,29.89
South Africa,84.2
South Sudan,8.94
Southern Africa,47.85
Sudan,38.52
Swaziland,65.79
Tanzania,32.79
Togo,46.92
Tunisia,100
Uganda,26.7
West Africa,52.37
Zambia,27.21
Zimbabwe,38.14